Código de la transacción,Estatus de la transacción,Fecha de la transacción,Confirmación del pago,Productor(a),Código del producto,Producto,Código del precio,Nombre de este precio,Tasa de conversión (moneda de compra),Moneda de compra,Valor de compra con impuestos,Impuestos locales de compra + Tarifa de pago en cuotas,Valor de compra sin impuestos,Tasa de conversión (moneda en la que recibes los valores),Moneda en la que recibirás los valores,Facturación bruta (sin impuestos),Facturación bruta,Tipo de venta,Faturación neta del Productor(a),Comisión del Afiliado(a),Facturación del(de la) Coproductor(a),Moneda de las tarifas,Tarifa de procesamiento,Tasa de streaming,Otras tarifas,Nombre del Afiliado(a),Canal usado para la venta,Código SRC,Código SCK,Método de pago,Tipo de cobro,Cantidad total de cuotas,Cantidad de cobros,Fecha de vencimiento (vouchers),Código del cupón,Período de prueba (trial),Cantidad de ítems,Comprador(a),Email del Comprador(a),País,Teléfono,Documento,Código postal,Ciudad,C. Autónoma/Dpto./Estado/Prov.,Dirección,Barrio,Número,Apto./piso/casa,Instagram
TRX000011,Completada,2021-01-11,No,Pamela Lopez,PROD218,Direction,PRC2753,Single,1.097,USD,591.55,97.81,493.74,0.8622,USD,501.9110413511546,591.7064621430432,Presencial,490.74621247800025,6.633887149660773,9.389300039271038,USD,3.22,0.72,0.41,,Tienda física,SRC-7498,SCK-9413,Efectivo,Recurrente,1,2,2022-10-20,CUP-5240,13,3,Beth Williams,tranheidi@example.org,Northern Mariana Islands,001-371-309-4777x52047,67190229-4,11665,North Angela,Nebraska,677 Dalton Meadow,Carroll Circle,723,Apto. 1,
TRX000012,Cancelada,2023-06-24,Sí,Theresa Clark,PROD658,Development,PRC1590,Everything,1.1338,USD,367.07,44.88,322.19,1.033,USD,327.7068042112639,381.8946181669586,Online,317.9131308101932,0.09669699608339966,0.7524386007376704,USD,2.43,0.04,0.73,,Web,SRC-1232,SCK-8120,PayPal,Único,11,4,2023-05-30,CUP-9740,3,3,Michael Warner,ojones@example.com,Solomon Islands,+1-693-661-8324x2102,71746488-7,57878,New Billchester,West Virginia,401 Suzanne Villages Apt. 490,Thomas Run,9174,,
TRX000013,Pendiente,2022-08-23,Sí,Zachary Graham,PROD373,Teach,PRC3608,Million,1.1149,USD,141.67,15.67,126.0,0.8432,USD,127.7705237032038,157.66774059813793,Online,121.87705589646202,1.79360663418207,9.244872952415456,USD,4.36,0.22,1.63,Julie Ortiz,Tienda física,SRC-5125,SCK-6746,Transferencia,Único,1,11,2024-10-07,CUP-8071,12,3,Frank Cordova,ahancock@example.net,Trinidad and Tobago,+1-976-203-8597,34824771-0,83079,Lake Eric,Oklahoma,613 Steven Crest,Tyrone Stravenue,4565,Apto. 5,@william46
TRX000014,Cancelada,2024-08-08,No,Mrs. Kristen Reyes,PROD139,Will,PRC2776,Place,1.0386,USD,312.03000000000003,52.42,259.61,0.9383,USD,262.9214986821441,328.9032232654416,Presencial,259.33399464880364,8.770384115755602,2.612151963902102,USD,2.46,0.98,0.23,,App,SRC-8214,SCK-6584,PayPal,Único,12,7,2024-07-14,CUP-4499,16,5,Mrs. Brittany Ryan MD,ugibson@example.org,Qatar,896.436.0576,70289517-1,69438,Smithberg,Nebraska,74596 Melissa Walk,Finley Road,3229,Apto. 24,@cbrennan
TRX000015,Pendiente,2023-07-08,No,Michael Mitchell,PROD512,Dream,PRC5844,Skin,1.0218,USD,385.64,50.16,335.48,0.8767,USD,343.9601527950634,391.91831290116716,Marketplace,328.28245736986054,3.003222682112642,3.0928466220865323,USD,4.73,0.68,1.81,,Tienda física,SRC-1611,SCK-7240,Efectivo,Único,5,5,2020-12-15,CUP-0455,13,5,David Jenkins,georgemiller@example.com,Niger,+1-437-392-3747x40748,75946474-3,50923,Rodriguezfurt,Oregon,440 Hill Port Apt. 974,Catherine Knoll,9940,Apto. 42,@danaoliver
TRX000016,Cancelada,2023-10-26,No,Mary Massey,PROD195,Production,PRC4848,Bill,1.0691,USD,256.59,29.93,226.66,0.8899,USD,235.67180825828254,266.0537237181865,Online,218.6997523987322,1.6969139619805473,0.8479553672512175,USD,1.16,0.05,1.97,,Web,SRC-0470,SCK-9521,Efectivo,Recurrente,11,10,2025-04-02,CUP-5623,22,4,Joshua Mata,maria47@example.com,San Marino,317-912-3685x16048,54965137-0,81706,Rosebury,Tennessee,746 Donald Camp,Ferrell Crescent,8100,,@youngamanda
TRX000017,Cancelada,2022-05-17,No,Travis Horton,PROD151,Now,PRC5082,Kind,1.167,USD,428.08000000000004,81.15,346.93,0.8485,USD,355.78465205509866,445.2888113084505,Online,339.14579593232673,2.1884113681231945,8.041098561731431,USD,4.11,0.67,1.98,,Redes sociales,SRC-9261,SCK-7964,Efectivo,Recurrente,3,12,2021-04-06,CUP-5377,14,3,Savannah Garcia,amy50@example.com,Falkland Islands (Malvinas),517.413.9005,93183933-5,19841,West Micheleberg,Florida,10205 Brianna Brook Apt. 402,Fox Summit,4051,Apto. 41,
TRX000018,Cancelada,2020-09-30,Sí,Ivan Wheeler,PROD241,Live,PRC3471,Most,0.8925,USD,316.94,51.5,265.44,1.0776,USD,266.2148335386474,322.4319489383508,Marketplace,262.5827184913685,2.717151070821846,3.197095684187623,USD,1.46,0.41,0.66,Luis Acosta,Web,SRC-8470,SCK-0766,Transferencia,Recurrente,7,10,2024-11-02,CUP-7711,0,5,Charles Martinez,oscar98@example.com,Korea,896.311.8367x36576,56545271-1,11689,South Colinstad,Florida,885 Robert Well,Parrish Stravenue,6233,,
TRX000019,Completada,2020-09-08,No,Erik Garcia,PROD324,Movement,PRC5471,Difference,0.9743,USD,181.1,24.78,156.32,0.8116,USD,164.677286707984,198.93283083937024,Presencial,150.9377943238977,7.346340607563578,7.998681709412677,USD,3.51,0.8,1.45,,App,SRC-2731,SCK-5851,Tarjeta de crédito,Recurrente,10,10,2025-03-04,CUP-9368,0,1,Sabrina Austin,lynchdiane@example.net,Ethiopia,8243455022,20183667-5,21132,Larrymouth,Wyoming,22901 Ramos Manors,Lawson Mall,7023,Apto. 9,@jason81
TRX000020,Pendiente,2022-02-26,No,Michael Watkins,PROD954,New,PRC2341,Region,0.9881,USD,157.98,20.5,137.48,1.0996,USD,140.8550054807387,167.07398650032962,Online,128.68360013998102,2.78256615638806,9.512041198605617,USD,5.0,0.35,1.3,,Web,SRC-4036,SCK-9003,Tarjeta de crédito,Único,4,1,2022-10-24,CUP-3244,4,2,Adam Burgess,davidpatel@example.org,Macao,+1-751-860-6071,96641605-2,81519,Collierstad,Colorado,36968 Randy Inlet Suite 352,William Crescent,2069,,
TRX000021,Completada,2023-01-31,No,Ricardo Bell,PROD210,Tell,PRC1420,Quite,1.1716,USD,140.73,23.93,116.8,1.0303,USD,118.47789143367802,156.0679619671248,Presencial,110.72752506109067,7.479256519552858,1.1453287137889767,USD,2.28,0.72,0.15,,App,SRC-2312,SCK-4329,Tarjeta de crédito,Recurrente,11,10,2021-05-13,CUP-1277,25,5,Olivia Cole,michelle52@example.com,Bangladesh,274.749.0581x4770,41199867-9,73156,South Reginashire,Tennessee,9782 Shannon Valleys,Haas Corner,673,Apto. 23,
TRX000022,Pendiente,2022-12-14,Sí,David Kim,PROD545,Leg,PRC3885,Need,1.0935,USD,52.42,8.63,43.79,1.1862,USD,47.99058740841828,52.67304300331706,Presencial,38.88798295009592,4.335234013258484,3.6218803849507197,USD,3.27,0.92,1.55,Caitlin Watson,Tienda física,SRC-4665,SCK-9051,PayPal,Único,2,5,2022-09-17,CUP-8644,7,4,Mary Escobar,mathewaguilar@example.org,United States Virgin Islands,(346)829-1486x528,85054235-7,25667,East Eric,Maine,880 Walter River,Carla Drives,9337,Apto. 40,@henryschwartz
TRX000023,Pendiente,2023-07-22,Sí,Michelle Williams,PROD629,His,PRC4130,Require,0.8342,USD,289.73,37.52,252.21,1.088,USD,255.75824966176097,299.4809986478269,Presencial,249.62647591141322,2.7965848803758595,5.961550079374294,USD,3.0,0.24,0.95,,Redes sociales,SRC-3794,SCK-7383,Tarjeta de crédito,Único,5,4,2022-07-19,CUP-7359,22,2,Mrs. Diane Reyes,mburch@example.net,Burundi,907-458-1814x124,61375060-6,66300,Joeland,Mississippi,51522 Justin Village,Horton Dam,5017,Apto. 43,@awest
TRX000024,Completada,2024-12-16,Sí,Daniel Hernandez,PROD423,Yard,PRC2958,Short,1.0972,USD,314.40999999999997,44.26,270.15,1.1804,USD,273.4579129719593,329.32870873427214,Marketplace,263.1214505781423,2.7091642697619633,2.514036762009415,USD,1.33,0.22,0.97,,Tienda física,SRC-9861,SCK-4341,Tarjeta de crédito,Único,5,4,2021-03-06,CUP-6971,5,3,Taylor Carlson,chenbailey@example.net,Cambodia,260-895-3962x1851,70654051-5,32105,Port Bonniemouth,Florida,8527 Welch Valleys,Bryan Trail,232,,@mjohnson
TRX000025,Cancelada,2020-08-25,No,Andrew Mahoney,PROD580,Myself,PRC8843,Information,0.9762,USD,576.6,89.2,487.4,0.8737,USD,488.66279492958404,590.5483478582039,Online,478.7153880273705,4.908786945237789,8.727197349985346,USD,1.64,0.86,0.23,Kimberly King PhD,Redes sociales,SRC-3450,SCK-5415,Tarjeta de crédito,Único,3,3,2023-05-29,CUP-6765,30,3,Kathleen Jimenez,laurie61@example.com,Netherlands,(984)851-1544,27570596-4,84317,North Emilyfurt,Mississippi,29702 Joel Rue,Cox Port,1396,,
TRX000026,Cancelada,2020-08-05,No,Jerry Watson,PROD412,Life,PRC1986,Source,1.0439,USD,254.45000000000002,40.52,213.93,1.096,USD,221.6869353969822,266.8183670499455,Online,210.1262197385345,9.085043776238038,2.973531325173874,USD,3.31,0.26,0.16,Chad Richardson,Web,SRC-5431,SCK-0278,Transferencia,Único,7,8,2023-05-02,CUP-8144,19,4,Cindy Carr,igonzalez@example.org,Korea,(671)455-1884,25831323-7,03946,Angelastad,New Jersey,114 Key Stravenue,Fox Trafficway,4772,,@emorrow
TRX000027,Completada,2021-01-21,No,Benjamin Owens,PROD217,Nation,PRC9922,Guy,0.8899,USD,182.53,34.0,148.53,0.8596,USD,150.86423806160025,183.9535952030696,Presencial,145.884453743411,7.912477450449615,5.897895892052578,USD,4.22,0.07,0.33,Ronald Arnold,Tienda física,SRC-9226,SCK-8018,Efectivo,Único,8,12,2021-08-16,CUP-2253,22,4,Todd Jacobson,kingcynthia@example.net,Falkland Islands (Malvinas),(449)481-8299,99590010-9,35189,Port Ashley,South Carolina,8447 Linda Spur,Evans Cliffs,4461,Apto. 33,@moorerobert
TRX000028,Cancelada,2022-10-02,Sí,Charles Hensley,PROD883,From,PRC5415,Similar,1.0305,USD,373.77000000000004,70.73,303.04,1.1052,USD,309.0771364094591,388.46067846571236,Online,302.78135107611666,2.2892441572182696,6.742983671721712,USD,2.62,0.65,1.83,Haley Ross PhD,Redes sociales,SRC-8815,SCK-3714,Efectivo,Único,8,6,2023-04-03,CUP-2104,10,3,Sharon Barnes,lisapeck@example.net,Germany,327.887.7470,87339500-4,65367,Mitchelltown,Connecticut,45650 Williams Points Apt. 584,Paul Mission,1714,Apto. 11,@marcia99
TRX000029,Completada,2021-01-09,No,Jennifer Norton,PROD985,Group,PRC9431,Open,1.13,USD,303.18,50.4,252.78,0.8005,USD,260.38499772057656,311.18904509627316,Marketplace,252.4130286968629,0.8805979277578857,2.523988509422077,USD,2.58,0.05,1.04,,Redes sociales,SRC-5239,SCK-8680,Efectivo,Único,4,5,2021-06-06,CUP-2578,4,3,Larry Robertson,sarah52@example.com,Nicaragua,001-749-358-8879x4705,69409749-9,30325,New Timothyhaven,South Dakota,30913 Scott Manor Apt. 636,Salas Street,7179,Apto. 45,@thorntonapril
TRX000030,Completada,2023-03-27,No,Mrs. Jamie Frye DDS,PROD220,No,PRC3522,Guess,0.9994,USD,579.99,93.15,486.84,1.0866,USD,488.4237816380523,584.7759492465531,Marketplace,481.3316099299733,5.522514090537331,0.9320920128152255,USD,3.67,0.42,0.96,Megan Dillon,Redes sociales,SRC-4973,SCK-3484,Transferencia,Recurrente,4,10,2022-04-09,CUP-4437,23,2,Gregory Peck,keith98@example.com,Ukraine,(652)640-4157x4733,21993308-3,84117,North Craig,Michigan,20826 Woods Flats Suite 540,Denise Fort,1144,Apto. 18,@gentrygregory
TRX000031,Completada,2024-11-03,No,Thomas Osborn,PROD651,Industry,PRC8935,Store,0.938,USD,451.45000000000005,55.47,395.98,1.0208,USD,403.24050982613534,451.50130518717157,Marketplace,387.6052407739358,5.799233838834041,6.599407530549194,USD,2.2,0.93,1.74,,App,SRC-7240,SCK-0499,Efectivo,Único,7,1,2021-05-31,CUP-5478,23,4,Stacy Anderson,znelson@example.org,Greenland,(474)820-5493,68516122-7,42916,North Jose,Kansas,5499 Jose Lake Apt. 017,Moore Spur,6247,,@hannah45
TRX000032,Pendiente,2023-07-03,Sí,Casey Hernandez,PROD839,Small,PRC3361,Police,0.964,USD,33.07,4.93,28.14,1.0619,USD,36.837003133622154,44.87360858619134,Online,19.398096259456917,4.403062097706771,5.259510868075614,USD,0.84,0.78,0.53,,Redes sociales,SRC-5687,SCK-8339,Tarjeta de crédito,Recurrente,11,9,2025-04-30,CUP-1878,30,3,Angela Elliott,poolerebecca@example.org,Montserrat,+1-922-358-7139,87072867-9,08068,Chambersport,Washington,4039 Brandon Key,Amber Circle,7995,,
TRX000033,Cancelada,2025-02-06,Sí,Timothy Johnson,PROD554,Issue,PRC3725,Couple,1.0776,USD,150.38,25.34,125.04,1.1614,USD,127.31486280700314,156.12758008084086,Online,124.13620669231032,9.783377282205457,7.603696929942654,USD,1.96,0.06,0.72,Pamela Good,App,SRC-6567,SCK-6618,Efectivo,Único,3,3,2021-03-17,CUP-5128,19,4,Cameron Irwin,avilatiffany@example.com,Peru,001-286-886-3375x2431,90331190-7,78853,East Joyfurt,New Hampshire,302 Young Street,Ray Trail,3946,,@joel28
TRX000034,Completada,2021-07-15,No,Antonio Fry,PROD453,Until,PRC5901,Simple,1.0556,USD,377.06,54.49,322.57,0.9697,USD,331.5590853170032,390.39681434532963,Presencial,317.917467444747,2.876316657484388,5.4659813760202836,USD,2.56,0.3,2.0,,Web,SRC-2687,SCK-0568,Transferencia,Recurrente,10,6,2022-10-31,CUP-6624,9,3,Paul Wells,kevinzimmerman@example.com,United States Virgin Islands,6865688263,51751830-4,49937,Port Charlesshire,Washington,3540 Sharon Streets,Julie Throughway,360,Apto. 43,@srocha
TRX000035,Pendiente,2023-06-15,Sí,Thomas Arnold,PROD721,Stand,PRC6772,Fear,0.8876,USD,345.6,58.29,287.31,0.8761,USD,287.80044250776,360.4933768233065,Presencial,281.24593506923526,4.967272865238703,9.041552908937254,USD,3.55,0.72,1.32,,Web,SRC-6785,SCK-4458,Tarjeta de crédito,Recurrente,8,1,2025-08-28,CUP-7175,11,2,Jacqueline Gutierrez,joycesmith@example.net,Vietnam,001-596-942-3536,85477725-2,18845,Whiteside,Tennessee,010 Robert Ville,Carlos Drive,1477,Apto. 19,
TRX000036,Pendiente,2020-06-23,No,Jacqueline Williamson,PROD925,Reflect,PRC5835,World,1.0986,USD,107.57000000000001,11.51,96.06,0.9355,USD,105.7748958121134,118.35815517968842,Online,90.75147626297215,9.13486974481697,8.304726195673974,USD,2.61,0.08,1.51,Karen Freeman,Redes sociales,SRC-0886,SCK-0084,PayPal,Único,7,1,2023-06-25,CUP-4086,17,1,Susan Rodriguez,warrenjohn@example.net,Malta,354-261-5679x334,16668700-2,11338,Brucemouth,Oregon,033 Nelson Club,Lam Port,7452,Apto. 24,
TRX000037,Cancelada,2023-09-21,Sí,Samuel Smith,PROD763,Despite,PRC2035,People,1.0542,USD,512.53,99.55,412.98,0.9857,USD,415.31821902211584,514.6969220439846,Marketplace,412.7297535035352,8.842348452148522,5.6140738224987885,USD,1.86,0.41,0.28,,Tienda física,SRC-2614,SCK-2939,Efectivo,Único,2,4,2025-05-11,CUP-6856,4,4,Brenda Hinton,masonterri@example.org,Bolivia,(731)859-9965x04773,62961943-1,11253,Ericberg,West Virginia,5110 Wallace Trace Suite 121,Ryan Point,7433,Apto. 24,
TRX000038,Cancelada,2023-03-16,No,Alexander Gomez,PROD322,Better,PRC8264,Picture,0.9779,USD,451.25,85.22,366.03,0.8944,USD,374.3669308329632,464.34843794986926,Presencial,359.8734778594884,9.390530657136553,2.7974014008578862,USD,0.95,0.69,1.09,,Tienda física,SRC-9560,SCK-4661,Tarjeta de crédito,Recurrente,5,4,2024-03-23,CUP-8398,30,4,James Taylor,joseph21@example.org,Jordan,964-371-5437x993,24065965-7,44375,Ochoaberg,Maryland,375 Tamara Island Suite 793,Bennett Viaduct,1502,,
TRX000039,Cancelada,2024-05-11,Sí,Timothy Gonzalez,PROD700,Offer,PRC4538,Couple,1.1252,USD,333.83000000000004,31.23,302.6,0.8932,USD,305.03568897164024,349.56589180909236,Online,301.3407611469196,5.645779759079633,0.686101528243559,USD,4.05,0.6,0.55,,App,SRC-8073,SCK-7416,PayPal,Único,2,11,2023-11-01,CUP-2434,4,1,Michelle Mccormick,colecarla@example.net,Iran,+1-386-580-5891,52909656-1,01883,West Jeffreyhaven,Oklahoma,5679 Michael Burg,Garcia Mall,5870,Apto. 16,@wilsonshelia
TRX000040,Cancelada,2021-02-20,Sí,Jesse Clark,PROD562,Meeting,PRC9254,Happen,0.8886,USD,156.7,16.67,140.03,1.046,USD,141.16649306786547,165.11921113820156,Marketplace,139.39441961852864,4.482752142698842,3.6203897381751204,USD,4.02,0.87,1.04,Jeffrey Horton,Web,SRC-5140,SCK-1051,Tarjeta de crédito,Recurrente,7,7,2024-10-11,CUP-2382,3,4,Erin Simmons,zhall@example.net,Colombia,(866)209-3796,33419182-5,43228,South Daniel,Texas,596 Matthews Keys Suite 792,Sellers Ramp,7268,,@powerslawrence
TRX000041,Pendiente,2021-08-16,No,James Thomas,PROD617,Important,PRC8048,Kid,0.8397,USD,92.51,9.83,82.68,1.0807,USD,88.53364688548122,104.99634988562417,Marketplace,75.55847203573694,3.809043988185208,5.973918551993133,USD,3.43,0.77,1.44,Laura Henderson,Redes sociales,SRC-7828,SCK-2742,Transferencia,Recurrente,6,8,2021-12-05,CUP-7905,13,1,Kari Lee,gmaynard@example.net,Lithuania,(676)477-2190x34043,79788191-4,71687,Amberton,Wisconsin,361 Kenneth Bypass Suite 451,Grimes Crest,5121,Apto. 28,
TRX000042,Cancelada,2024-04-22,No,Robert Matthews,PROD931,Have,PRC3131,Traditional,1.0225,USD,217.18,23.77,193.41,1.0346,USD,194.08133308136647,235.6397007146877,Marketplace,185.09228111525144,0.932301017036774,0.9656443256578562,USD,3.03,0.67,0.82,,Redes sociales,SRC-9629,SCK-2330,Tarjeta de crédito,Recurrente,10,5,2023-10-11,CUP-8498,3,5,William Carter,stephanie81@example.org,Sao Tome and Principe,(804)822-3253x67294,71168457-7,43399,Port Kimland,Washington,518 Robinson Meadow Apt. 745,Morgan Ports,8314,,
TRX000043,Cancelada,2021-01-31,Sí,Rachel Shannon,PROD723,Sound,PRC5381,Anything,0.8116,USD,133.81,13.93,119.88,0.9093,USD,123.5556105061535,150.7174683720269,Presencial,112.2539436806315,5.741000043314627,8.072213711523444,USD,4.65,0.35,0.36,Mark Copeland,Redes sociales,SRC-0127,SCK-7063,Tarjeta de crédito,Único,12,11,2025-06-14,CUP-2424,2,5,Isaac Miller,brettgarrett@example.net,Reunion,001-236-211-0371x29387,51627136-1,96283,North Lawrenceport,Florida,21890 Scott Stravenue Apt. 269,Heath Corners,3525,Apto. 25,@taylordavid
TRX000044,Cancelada,2024-01-30,Sí,Jeffrey Moody,PROD790,End,PRC2336,Factor,0.9088,USD,99.91999999999999,12.79,87.13,1.0648,USD,96.54407423970055,106.40765784156852,Presencial,81.16776227794907,8.833421845183434,1.5557990340448835,USD,3.23,0.41,0.43,,Tienda física,SRC-1389,SCK-9940,Efectivo,Único,5,11,2025-08-15,CUP-4389,18,4,Nicole Phillips,bowerslaura@example.org,Lithuania,(813)779-1805x5269,82710910-4,28778,North Stacyfurt,North Carolina,866 Miller Plain Apt. 414,William Ford,8634,Apto. 43,@amandamyers
TRX000045,Pendiente,2023-08-08,Sí,Melanie Jones,PROD107,Say,PRC9149,Leave,1.0988,USD,242.36,38.68,203.68,0.8703,USD,206.69419362018436,242.51374171799768,Presencial,201.56766020779688,1.37234805257327,2.555195040214593,USD,2.9,0.23,1.12,,Tienda física,SRC-3031,SCK-6179,Tarjeta de crédito,Recurrente,12,1,2024-02-02,CUP-4210,0,4,Meredith Martin,alexandra42@example.com,Brunei Darussalam,001-941-705-6481x4917,07925241-9,88859,East Joycetown,Arizona,07562 Sarah Walks,Angela Station,1276,Apto. 21,
TRX000046,Cancelada,2024-02-18,No,Frank Butler,PROD190,Service,PRC8155,Front,1.1378,USD,415.82,58.17,357.65,0.8973,USD,357.85856559024745,418.12346745327596,Marketplace,354.4023182055448,8.013221543104521,6.181252633042402,USD,2.3,0.08,1.74,,App,SRC-4195,SCK-1802,PayPal,Único,2,9,2022-06-09,CUP-8061,3,5,Sharon Ayala,mark87@example.org,Heard Island and McDonald Islands,949.549.3759,83206038-5,83855,West Aaronfurt,West Virginia,38367 Teresa Divide Suite 103,Haynes Landing,8356,Apto. 13,@fvillegas
