Código de la transacción,Estatus de la transacción,Fecha de la transacción,Confirmación del pago,Productor(a),Código del producto,Producto,Código del precio,Nombre de este precio,Tasa de conversión (moneda de compra),Moneda de compra,Valor de compra con impuestos,Impuestos locales de compra + Tarifa de pago en cuotas,Valor de compra sin impuestos,Tasa de conversión (moneda en la que recibes los valores),Moneda en la que recibirás los valores,Facturación bruta (sin impuestos),Facturación bruta,Tipo de venta,Faturación neta del Productor(a),Comisión del Afiliado(a),Facturación del(de la) Coproductor(a),Moneda de las tarifas,Tarifa de procesamiento,Tasa de streaming,Otras tarifas,Nombre del Afiliado(a),Canal usado para la venta,Código SRC,Código SCK,Método de pago,Tipo de cobro,Periodicidad,Cantidad total de cuotas,Cantidad de cobros,Fecha de vencimiento (vouchers),Código del cupón,Período de prueba (trial),Cantidad de ítems,Comprador(a),Email del Comprador(a),País,Teléfono,Documento,Código postal,Ciudad,C. Autónoma/Dpto./Estado/Prov.,Dirección,Barrio,Número,Apto./piso/casa,Instagram
TRX000011,Cancelada,2021-10-30,Sí,Sheryl Peters,PROD954,Nation,PRC7049,Yourself,1.033,USD,441.4,68.2,373.2,0.9719,CLP,373.3,449.95,Presencial,372.45,8.83,9.04,EUR,4.55,0.8,1.72,,App,SRC-3136,SCK-7837,Transferencia,Recurrente,Mensual,11,2,2024-02-27,CUP-7701,24,5,Jared Sanchez,thomas85@example.com,Samoa,+1-555-774-4431,18233749-8,78723,Tinaborough,Maine,2408 Joshua Center,Terry Crossroad,6659,,
TRX000012,Pendiente,2023-08-15,Sí,Ashley Smith,PROD373,Feel,PRC3608,Manager,1.1149,CLP,540.53,106.87,433.66,0.953,CLP,442.47,556.75,Presencial,433.41,7.37,3.32,USD,1.4,0.92,0.7,,App,SRC-7752,SCK-0471,Transferencia,Único,Único,1,1,2024-07-29,CUP-6719,21,2,Amy Hernandez,christopher31@example.net,Serbia,(299)393-8677x49649,33412328-1,21018,South Shannonfort,Maine,44713 French Road,Ronald Plains,6529,Apto. 22,
TRX000013,Completada,2021-07-22,No,Derek Thomas,PROD139,As,PRC2776,Company,1.0386,EUR,1128.62,155.63,972.99,1.0914,EUR,978.35,1148.24,Presencial,963.6,3.46,29.11,CLP,6.7,1.73,1.53,,Web,SRC-4994,SCK-7174,Transferencia,Recurrente,Trimestral,6,7,2024-01-11,CUP-4887,30,3,Kyle Preston,cassandra01@example.org,Peru,001-990-649-0278,29671756-5,42582,Port Eugenechester,Vermont,6807 Leonard Islands Apt. 680,Gutierrez Field,5144,,
TRX000014,Cancelada,2023-01-09,Sí,Kathleen Ramos,PROD730,Approach,PRC5930,Democrat,0.9624,CLP,2251.22,312.62,1938.6,0.9215,USD,1941.56,2259.27,Presencial,1937.33,50.45,112.84,EUR,31.11,5.31,5.13,Carlos Roberts,App,SRC-7109,SCK-3248,Tarjeta de crédito,Recurrente,Anual,5,9,2021-06-06,CUP-6131,20,5,Bruce Collier,scantu@example.net,Romania,467-373-7826x398,46584044-9,76512,Grimesmouth,Ohio,5886 Cantu Ways Apt. 396,Melissa Loop,5492,,
TRX000015,Cancelada,2020-08-25,Sí,Michele Shepherd,PROD835,Imagine,PRC7291,Record,0.9978,USD,454.7,49.48,405.22,0.859,CLP,415.06,455.62,Online,399.11,7.68,4.55,BRL,1.48,0.8,1.39,Marissa Hernandez,App,SRC-0289,SCK-5171,Tarjeta de crédito,Único,Único,1,1,2023-09-13,CUP-7026,4,4,Tracy Jones,matthew61@example.com,Timor-Leste,+1-386-357-8091x34316,72400504-5,49632,Thomashaven,Nebraska,21969 Tyler Prairie,Jesse Route,8703,Apto. 36,
TRX000016,Pendiente,2021-09-13,No,Adam Ballard,PROD869,Wear,PRC5050,Field,1.1359,EUR,6060.69,1148.49,4912.2,1.1063,BRL,4921.27,6069.22,Marketplace,4907.74,19.1,103.38,USD,20.83,0.93,6.86,Brooke Alexander,Tienda física,SRC-5946,SCK-4743,Tarjeta de crédito,Recurrente,Anual,3,3,2025-10-01,CUP-7136,12,2,Laura Haney,andrew64@example.org,Mongolia,+1-209-674-3953x39421,70952145-6,23522,East Kristin,Mississippi,47451 Mccarty Divide Apt. 685,Krystal Bridge,3506,Apto. 5,@amanda75
TRX000017,Cancelada,2023-10-17,No,Lauren Carson,PROD588,Yard,PRC1096,Hot,1.1771,EUR,148.87,27.34,121.53,1.1014,BRL,129.23,156.66,Marketplace,112.07,0.59,26.42,USD,8.09,0.82,2.91,David Johnson,Redes sociales,SRC-8593,SCK-1746,Transferencia,Recurrente,Trimestral,8,3,2021-11-20,CUP-0047,17,1,David Medina,qchavez@example.net,Qatar,+1-669-226-1796,53773515-8,85019,Bruceview,Illinois,1390 Kristin Gardens,Kristin Ford,6456,,@gallegosangela
TRX000018,Pendiente,2023-05-13,No,Crystal Schroeder,PROD358,Story,PRC2341,Wear,0.9881,CLP,490.09,55.33,434.76,1.2,EUR,438.03,495.29,Online,430.21,3.38,8.8,CLP,4.02,0.65,1.51,,App,SRC-9042,SCK-2842,Tarjeta de crédito,Recurrente,Mensual,10,3,2021-04-26,CUP-0205,4,4,Cynthia Morris,josephmartinez@example.com,Malta,517-275-8917,84700766-1,64761,Jonesland,Massachusetts,24998 James Ranch,Chavez Rapids,1875,,@sgarcia
TRX000019,Completada,2021-01-01,No,Sherry Arnold,PROD689,Tree,PRC7149,Dinner,0.9587,USD,329.53,52.87,276.66,0.8304,USD,277.81,344.49,Online,268.47,28.94,3.24,EUR,12.98,1.8,0.73,,Web,SRC-6736,SCK-5766,PayPal,Recurrente,Trimestral,9,7,2025-01-02,CUP-5654,11,1,Christian Leblanc,davischristopher@example.com,Bhutan,001-252-680-9885x1656,94519832-7,29893,West Meganstad,Delaware,368 Chelsea Shoals Suite 024,Dorsey Keys,8290,Apto. 42,@whitedouglas
TRX000020,Cancelada,2023-09-19,No,Patrick Bonilla,PROD730,Benefit,PRC9817,Skin,1.1099,BRL,230.32,45.19,185.13,0.9742,EUR,193.42,243.03,Presencial,178.06,13.06,22.01,USD,12.71,0.26,5.29,Jamie Chavez,Redes sociales,SRC-2545,SCK-9910,Efectivo,Recurrente,Trimestral,6,1,2021-11-26,CUP-9014,27,3,Jeff Lawson,wnelson@example.net,Brazil,(261)249-7840x369,34324451-0,65694,Thompsonfurt,Ohio,851 Hensley Canyon,Smith Club,2980,,@barbara96
TRX000021,Pendiente,2023-12-23,No,Brian Smith,PROD668,Garden,PRC4937,Congress,1.0762,BRL,524.64,83.55,441.09,0.9793,CLP,446.65,542.24,Online,435.92,5.73,7.24,EUR,4.49,2.08,1.84,,Redes sociales,SRC-9751,SCK-6136,PayPal,Recurrente,Trimestral,7,12,2024-02-23,CUP-8164,10,3,Connie Maxwell,dixondaniel@example.net,Congo,001-955-923-1243x29212,99799552-7,09451,Ramosport,Louisiana,8147 Johnson Land,Jones Way,7435,Apto. 18,@gilbertwilliam
TRX000022,Pendiente,2022-09-29,No,Rebecca Huang,PROD202,Listen,PRC4180,When,0.9185,EUR,416.97,53.54,363.43,0.8718,CLP,372.94,431.83,Marketplace,356.53,1.92,7.39,USD,1.73,0.97,1.11,,App,SRC-9359,SCK-7820,Efectivo,Único,Único,1,1,2022-10-30,CUP-5182,27,1,Michael Ritter,michaelhardin@example.com,Ireland,001-759-305-1518x64492,92546291-4,73760,Schneidermouth,Florida,685 Michael Falls,Matthew Trafficway,9406,Apto. 19,@ilee
TRX000023,Cancelada,2021-03-16,Sí,Richard Romero,PROD255,Notice,PRC3444,Thing,1.1245,EUR,549.69,66.6,483.09,0.8341,USD,484.23,566.92,Online,482.44,4.92,5.77,BRL,3.23,0.79,0.45,,Redes sociales,SRC-8059,SCK-2962,Efectivo,Recurrente,Mensual,5,10,2021-11-05,CUP-9270,9,5,Michael Young,wbishop@example.net,Slovenia,838.834.7359x774,23924075-8,13947,West Christopherburgh,Louisiana,261 Lisa Keys Apt. 606,Young Common,987,,
TRX000024,Cancelada,2022-04-22,No,Timothy Combs,PROD398,Rate,PRC1534,Government,0.8926,EUR,360.71,44.21,316.5,1.0812,BRL,318.9,362.33,Online,310.98,1.57,4.09,USD,4.66,0.79,1.25,,App,SRC-2204,SCK-7277,Efectivo,Único,Único,1,1,2023-09-02,CUP-1043,17,2,Kimberly Acosta,srodriguez@example.org,Gabon,203-569-7117,24609539-6,25052,New Theresaland,North Dakota,7065 Burgess Knolls,Michael Street,2442,,@ingramjill
TRX000025,Pendiente,2022-02-03,No,Joshua Li,PROD612,Continue,PRC9847,Then,0.9975,CLP,473.79,75.4,398.39,1.0392,BRL,407.6,490.27,Marketplace,394.0,4.69,3.04,EUR,3.22,0.03,0.46,,Web,SRC-7722,SCK-1704,PayPal,Único,Único,1,1,2022-04-01,CUP-3054,1,2,Virginia Daniels,benjamin34@example.com,Tokelau,001-705-641-5667x65277,16169284-5,13948,West Donnaport,New Hampshire,75705 Hill Turnpike Apt. 165,Stephanie Divide,7709,Apto. 34,
TRX000026,Completada,2024-09-02,Sí,Jessica Martinez,PROD437,Eat,PRC7744,Start,1.0775,EUR,580.94,82.44,498.5,1.065,BRL,508.19,597.22,Marketplace,493.8,4.08,3.21,CLP,2.55,0.31,0.65,,Redes sociales,SRC-5569,SCK-0927,Tarjeta de crédito,Único,Único,1,1,2026-02-04,CUP-5719,27,5,Jacob Edwards,john10@example.net,Colombia,386.481.4473x9473,17271551-8,71564,Patriciaburgh,Virginia,8313 Joel Park,Michael Ports,7570,,@tanner82
TRX000027,Cancelada,2023-06-28,No,Eric Key,PROD224,Serve,PRC1472,Measure,1.1893,USD,5453.23,885.31,4567.92,1.0839,EUR,4569.96,5468.43,Marketplace,4562.43,111.32,52.57,CLP,35.82,1.12,23.81,,Redes sociales,SRC-8669,SCK-1251,Tarjeta de crédito,Recurrente,Anual,11,3,2023-05-20,CUP-8528,29,3,Catherine Burch,dshaw@example.org,Maldives,(342)625-3584,38424981-8,84516,New Shelly,Georgia,995 Marcia Burgs,Brandon Row,8338,Apto. 46,@debra96
TRX000028,Pendiente,2023-07-10,No,Stephen Gardner,PROD448,Quality,PRC9318,Five,0.9069,CLP,459.23,70.94,388.29,0.9131,EUR,397.51,466.9,Marketplace,383.21,26.38,25.92,BRL,13.18,1.34,2.91,Dr. Michael Evans,Redes sociales,SRC-1027,SCK-6773,Efectivo,Recurrente,Trimestral,6,4,2023-02-10,CUP-2555,7,5,Bianca Wood,floressteven@example.com,Korea,421.704.6963,95327877-4,65692,North Sierrahaven,New Jersey,95004 Harper Ville,Mitchell Branch,6275,Apto. 15,@jordannicole
TRX000029,Completada,2024-01-25,No,Holly Morales,PROD990,Over,PRC2644,Or,1.1497,BRL,6354.05,863.09,5490.96,0.8399,BRL,5498.88,6373.82,Online,5484.44,18.25,115.78,USD,28.14,7.86,3.7,Juan Jones,Tienda física,SRC-8784,SCK-9912,PayPal,Recurrente,Anual,10,12,2025-11-11,CUP-6558,20,1,Nicole Gonzalez,cporter@example.org,Burundi,001-457-887-2982x595,94958887-9,39795,Cabrerastad,Michigan,9409 Baker Shoal,Jennifer Prairie,5384,Apto. 44,
TRX000030,Completada,2022-10-31,Sí,Michelle Hampton,PROD554,Husband,PRC3725,Choose,1.0776,CLP,367.59,36.51,331.08,0.8184,CLP,340.29,380.21,Presencial,321.11,89.61,52.08,EUR,26.24,1.75,12.75,,App,SRC-3091,SCK-3075,Transferencia,Recurrente,Anual,3,2,2023-05-20,CUP-6368,27,4,Tami Salas,thorntonapril@example.net,Greece,+1-578-565-2785x85497,48434437-5,63389,Annview,Maine,866 Blevins Unions,Kelly Heights,3946,,@reedscott
TRX000031,Pendiente,2021-09-18,No,Dale Ryan,PROD754,Worker,PRC7951,Or,1.0761,BRL,446.43,41.1,405.33,1.1381,USD,414.34,462.52,Presencial,398.55,4.74,13.25,BRL,2.94,1.14,2.15,Breanna Gilbert,Tienda física,SRC-9330,SCK-8330,Tarjeta de crédito,Recurrente,Trimestral,11,7,2021-04-26,CUP-5712,0,5,Joshua Hickman,edelgado@example.com,Pakistan,245.440.1938,62067240-0,39611,West Justinside,North Dakota,87431 Martin Mount Suite 205,Bradley Throughway,804,Apto. 39,
TRX000032,Completada,2021-05-25,Sí,Margaret Sullivan,PROD742,Late,PRC1645,Myself,0.9236,BRL,354.45,46.99,307.46,0.8133,EUR,313.67,367.18,Marketplace,300.68,7.21,6.59,USD,0.91,0.3,1.49,James Davis,App,SRC-2753,SCK-0463,PayPal,Recurrente,Mensual,9,9,2023-01-18,CUP-4549,26,2,Alexandra Valdez,bryanwilson@example.com,Cayman Islands,(784)814-5933x2727,87833918-7,69729,Christianshire,Delaware,839 Franklin Walk,Wilson Ford,4211,Apto. 31,
TRX000033,Cancelada,2024-01-06,No,Steven Griffin Jr.,PROD192,Cause,PRC7464,Must,0.8056,CLP,266.13,26.65,239.48,0.9819,EUR,241.74,281.21,Marketplace,232.72,6.74,3.97,BRL,4.2,0.94,0.22,Justin Hansen,Web,SRC-4064,SCK-0391,PayPal,Recurrente,Mensual,10,4,2021-07-26,CUP-5180,2,4,Andrea Peck,mitchellhector@example.org,Seychelles,+1-865-467-6618x2512,30047868-6,30603,South Michael,Louisiana,106 John Cliff,Brittney Mission,4952,Apto. 42,@sanchezbradley
TRX000034,Cancelada,2022-08-17,No,Nicole Parsons,PROD701,Challenge,PRC3531,Most,1.1542,CLP,542.66,68.99,473.67,1.1335,BRL,474.64,552.51,Presencial,464.8,1.36,4.54,CLP,3.61,0.22,0.89,Cynthia Hendricks DDS,Tienda física,SRC-9953,SCK-4283,Tarjeta de crédito,Único,Único,1,1,2023-06-18,CUP-4089,11,5,Susan Garrett,dpeters@example.com,Western Sahara,+1-568-656-6246x2873,27086688-2,51411,West James,Tennessee,5183 Joseph Spring,Morgan Field,5877,Apto. 4,@timothybooth
TRX000035,Pendiente,2022-02-04,Sí,Alexis Giles,PROD228,Site,PRC4362,Buy,0.8274,USD,581.25,106.23,475.02,1.0346,USD,477.14,583.08,Presencial,468.63,9.71,0.51,USD,4.05,0.6,0.55,,App,SRC-7393,SCK-6385,PayPal,Único,Único,1,1,2024-07-21,CUP-6785,3,1,Ian Andrade,ugarcia@example.com,Senegal,835-656-0932x04899,23536937-8,86301,Jonathanfort,Washington,2522 White Plains Apt. 801,Kathy Loop,2160,Apto. 1,
TRX000036,Pendiente,2021-02-12,No,Andrea Hernandez,PROD625,Discover,PRC2786,Mouth,0.9808,USD,329.1,30.56,298.54,1.1782,CLP,299.81,334.41,Marketplace,294.33,1.14,0.64,EUR,2.56,0.96,0.12,Antonio Little,Redes sociales,SRC-9770,SCK-0886,Efectivo,Único,Único,1,1,2021-06-15,CUP-8484,3,4,Robert Craig,danieldavis@example.org,Dominican Republic,898.945.4615,93341016-6,49937,Browntown,Vermont,76591 Jerry Ways,Nelson Club,7268,,@rachel90
TRX000037,Pendiente,2021-04-30,No,Alexis Clark,PROD201,Charge,PRC2874,Soldier,1.1411,USD,48.14,5.96,42.18,0.972,USD,47.66,60.8,Presencial,38.93,9.95,5.31,EUR,4.22,0.4,1.46,Samantha Hickman,Tienda física,SRC-4293,SCK-9685,PayPal,Único,Único,1,1,2022-11-16,CUP-2185,30,2,Jeffrey Roberson,cassie99@example.com,Singapore,604-577-3586x62961,11426265-5,14466,North Sherrymouth,Mississippi,21267 Garcia Corners Suite 819,Shields Bridge,7771,,
TRX000038,Cancelada,2021-11-21,Sí,Bradley Santana,PROD520,West,PRC6793,Eight,1.1494,BRL,268.53,46.91,221.62,1.1472,CLP,222.92,275.98,Presencial,221.02,9.57,5.62,EUR,2.08,0.58,0.43,,App,SRC-9826,SCK-2244,Tarjeta de crédito,Único,Único,1,1,2022-04-07,CUP-2126,27,5,Elijah Patton,johnathan37@example.net,Nicaragua,871.724.0659,75692459-3,63285,Gregoryfurt,Massachusetts,793 Bennett Viaduct Suite 519,Brittany Plains,6023,Apto. 8,
TRX000039,Pendiente,2021-05-01,Sí,Alyssa Acosta,PROD284,Yes,PRC5477,Section,1.0811,EUR,7153.61,1303.25,5850.36,1.1686,EUR,5856.79,7165.88,Online,5850.1,111.49,99.54,USD,52.97,6.8,9.62,Robert Guerra,Web,SRC-1672,SCK-4342,Tarjeta de crédito,Recurrente,Anual,12,9,2024-04-23,CUP-6179,12,4,James Hunter,ystephens@example.com,Reunion,+1-891-713-5290,61014388-8,76590,South Neil,New Jersey,0714 Knapp Corner,Marie Stream,7433,,@michaelcooper
TRX000040,Pendiente,2024-05-08,No,Hannah Davis,PROD721,Seven,PRC8242,Same,0.9657,USD,4468.8,843.0,3625.8,1.102,CLP,3633.34,4471.91,Presencial,3625.3,9.79,53.17,BRL,11.99,8.14,14.24,,Tienda física,SRC-7514,SCK-0105,Tarjeta de crédito,Recurrente,Anual,4,7,2024-07-05,CUP-2382,1,1,Erin Simmons,zhall@example.net,Colombia,(866)209-3796,33419182-5,43228,South Daniel,Texas,596 Matthews Keys Suite 792,Sellers Ramp,3350,,
TRX000041,Cancelada,2020-11-08,No,Bruce Torres,PROD173,Cover,PRC7505,Hour,1.1447,CLP,564.17,51.83,512.34,0.9745,BRL,514.1,579.11,Online,508.54,21.11,15.01,EUR,9.27,1.72,4.26,Kayla Barnes,Web,SRC-2966,SCK-2782,Efectivo,Recurrente,Trimestral,1,6,2023-06-12,CUP-7422,25,5,Jerry Brown,stephanie72@example.org,Suriname,(588)676-7677x2190,04384279-7,72554,New Dannyside,Mississippi,783 Garcia Village,Kenneth Bypass,7539,Apto. 45,@fbaker
TRX000042,Completada,2022-08-17,Sí,Patricia Young PhD,PROD622,Per,PRC2868,Risk,1.0122,USD,153.57,24.34,129.23,1.1624,EUR,133.19,164.05,Presencial,126.13,3.4,3.33,USD,1.56,0.15,0.39,,Web,SRC-5962,SCK-9233,Transferencia,Único,Único,1,1,2025-05-03,CUP-9584,15,4,Caroline Werner,keith48@example.net,Suriname,726-504-2232,67294667-1,83551,South Zacharyview,Vermont,7590 Jessica Mount Suite 186,Tammy Views,9237,Apto. 49,
TRX000043,Completada,2021-06-28,No,Ronald Morgan,PROD572,Participant,PRC8404,Case,0.815,EUR,2307.35,328.43,1978.92,1.1327,CLP,1985.23,2316.73,Marketplace,1970.96,70.97,42.23,CLP,39.21,6.08,11.11,,Web,SRC-9750,SCK-0170,Efectivo,Recurrente,Anual,10,11,2021-04-26,CUP-2770,10,5,Jessica Forbes DVM,erik41@example.net,Guyana,515-920-6436x110,12938700-5,16307,Bensonfort,California,1115 Ibarra Dam,Ayala Terrace,7793,,
TRX000044,Pendiente,2024-10-19,Sí,Megan Jones,PROD472,Order,PRC7108,Across,1.1672,BRL,499.28,91.91,407.37,0.9635,EUR,408.21,518.93,Marketplace,400.91,0.39,7.08,CLP,4.05,0.65,0.13,Carly Bell,Redes sociales,SRC-3269,SCK-7311,PayPal,Recurrente,Mensual,5,12,2022-01-20,CUP-1965,30,5,Emily Taylor,deanna38@example.net,Netherlands Antilles,001-594-904-3898x3640,61379180-5,41981,South Michelle,Oregon,8271 Brenda Bridge Suite 300,Hunter Road,2464,,
TRX000045,Cancelada,2023-12-29,No,Jessica Morales,PROD758,Push,PRC6381,Not,1.1253,CLP,526.5,67.29,459.21,1.0584,BRL,465.83,539.62,Marketplace,457.92,7.09,0.85,EUR,0.58,0.31,1.9,Brittany Miller,Redes sociales,SRC-1832,SCK-8569,Transferencia,Único,Único,1,1,2023-12-02,CUP-1463,4,2,Brandon Hamilton,dsalazar@example.com,Papua New Guinea,001-721-402-0275x8842,41056481-4,93866,South Spencerstad,Arkansas,252 Ayala Ports Apt. 380,Michele Bridge,1265,,
TRX000046,Cancelada,2021-08-27,Sí,James Hernandez,PROD838,Word,PRC8170,Toward,0.8175,EUR,411.74,77.39,334.35,1.0705,USD,340.32,424.1,Presencial,332.81,1.81,6.93,EUR,3.89,0.78,0.47,Robert Klein,Redes sociales,SRC-6353,SCK-6541,Transferencia,Único,Único,1,1,2023-10-22,CUP-1802,21,5,Jose Williams,djones@example.com,Singapore,951-787-0534x9493,97383206-0,31040,Cynthiatown,Michigan,641 Alyssa Freeway,Vasquez Circle,7219,Apto. 30,
TRX000047,Completada,2025-04-16,Sí,Douglas Williams,PROD391,Each,PRC2374,Watch,1.1052,EUR,500.62,90.34,410.28,0.9797,USD,412.78,503.39,Presencial,403.87,8.74,5.55,CLP,4.76,0.22,0.9,Jennifer Huang,Web,SRC-7191,SCK-8261,Efectivo,Recurrente,Mensual,1,7,2024-02-05,CUP-0623,11,2,Samuel Howe,vhaynes@example.com,Ghana,943.713.2912x127,61853747-4,16218,East Lindseyport,Virginia,52135 Palmer Springs,Green Extensions,6327,Apto. 6,@cranemelissa
TRX000048,Completada,2023-03-18,No,Anna Garcia,PROD559,Student,PRC1086,Challenge,1.1623,CLP,504.38,83.18,421.2,0.9024,USD,422.58,520.21,Marketplace,418.33,8.3,6.96,BRL,1.0,0.29,0.6,Antonio Norman,Redes sociales,SRC-3236,SCK-5199,Efectivo,Recurrente,Mensual,2,2,2022-06-05,CUP-1013,19,5,Jill Anderson,david70@example.org,Uzbekistan,001-566-470-6625,44720999-3,85341,Victorside,New Mexico,46263 Crystal Unions,Veronica Tunnel,270,,
