Código de la transacción;Estatus de la transacción;Fecha de la transacción;Confirmación del pago;Productor(a);Código del producto;Producto;Código del precio;Nombre de este precio;Tasa de conversión (moneda de compra);Moneda de compra;Valor de compra con impuestos;Impuestos locales de compra + Tarifa de pago en cuotas;Valor de compra sin impuestos;Tasa de conversión (moneda en la que recibes los valores);Moneda en la que recibirás los valores;Facturación bruta (sin impuestos);Facturación bruta;Tipo de venta;Faturación neta del Productor(a);Comisión del Afiliado(a);Facturación del(de la) Coproductor(a);Moneda de las tarifas;Tarifa de procesamiento;Tasa de streaming;Otras tarifas;Nombre del Afiliado(a);Canal usado para la venta;Código SRC;Código SCK;Método de pago;Tipo de cobro;Cantidad total de cuotas;Cantidad de cobros;Fecha de vencimiento (vouchers);Código del cupón;Período de prueba (trial);Cantidad de ítems;Comprador(a);Email del Comprador(a);País;Teléfono;Documento;Código postal;Ciudad;C. Autónoma/Dpto./Estado/Prov.;Dirección;Barrio;Número;Apto./piso/casa;Instagram
TRX000011;Completada;29-10-2021;No;Sheryl Peters;PROD265;Nation;PRC8239;Yourself;10.207;BRL;16.448.000.000.000.000;31.43;133.05;10.244;CLP;13.939.284.447.309.100;16.549.597.787.325.000;Online;12.475.651.910.627.700;0.4408676179905002;3.335.565.386.050.880;USD;2.96;0.83;1.17;David Russell;App;SRC-8377;SCK-7014;Tarjeta de crédito;Recurrente;6;1;15-01-2022;CUP-3495;6;2;Joseph Coleman;michael74@example.com;El Salvador;9.136.518.233;98941343-5;24020;Alexisside;Florida;08427 Monique Ports Suite 777;Lopez Center;1685;Apto. 23;
TRX000012;Completada;09-09-2021;No;Ashley Jones;PROD901;Million;PRC7745;Back;11.209;USD;467.35;90.11;377.24;0.9067;CLP;3.788.650.176.710.040;4.720.847.466.445.870;Presencial;369.241.129.700.931;17.705.237.032.038.100;4.122.944.103.537.970;CLP;4.36;0.22;1.63;Melissa Hernandez;Tienda física;SRC-9413;SCK-1869;Transferencia;Único;1;11;05-09-2023;CUP-9386;12;3;Jeremy Dalton;ntorres@example.org;New Zealand;001-813-934-1232x8120;97403447-1;90597;West Kristin;South Dakota;1832 Serrano Cliffs;Gabriel Inlet;4565;Apto. 5;@scott74
TRX000013;Cancelada;05-12-2023;No;Kathryn Snyder;PROD139;Be;PRC2776;Piece;10.386;EUR;31.203.000.000.000.000;52.42;259.61;10.914;EUR;2.629.214.986.821.440;3.289.032.232.654.410;Presencial;25.933.399.464.880.300;8.770.384.115.755.600;2.612.151.963.902.100;CLP;2.23;0.58;0.51;;Web;SRC-0659;SCK-4013;Transferencia;Recurrente;7;2;03-03-2026;CUP-9904;29;3;Pamela Thompson;lmoon@example.net;Jordan;+1-671-875-6551x2567;80715451-6;67950;Lake Mollymouth;Nebraska;85977 James Plaza;Sara Mill;5144;;
TRX000014;Pendiente;30-10-2024;Sí;Mr. Mark Lloyd;PROD730;Security;PRC5930;Cold;0.9624;CLP;180.17;23.01;157.16;0.9215;USD;16.118.400.387.057.700;18.833.785.817.238.400;Presencial;15.420.344.797.474.000;12.728.779.905.915.300;42.044.633.377.290.800;EUR;2.59;0.44;0.43;Adam Russell;App;SRC-3171;SCK-2748;Tarjeta de crédito;Recurrente;9;11;04-11-2024;CUP-6773;19;3;Charles Lee;michellehill@example.com;Guam;840.944.9972x78755;53396360-5;98110;Thorntonfurt;Missouri;0289 Kane Well;Garcia Motorway;1531;;
TRX000015;Pendiente;04-07-2020;Sí;Seth Booker;PROD835;Bad;PRC7291;Manager;0.9978;USD;135.66;15.59;120.07;0.859;CLP;12.251.842.544.078.300;13.614.850.775.453.600;Online;11.531.863.655.781.100;849.737.694.624.732;0.728282291845691;BRL;1.48;0.8;1.39;Deborah Hanson;App;SRC-6158;SCK-6578;Tarjeta de crédito;Recurrente;3;8;18-07-2021;CUP-1343;16;5;Jessica Garcia;wallaceheather@example.org;Aruba;304-855-6238x69222;93792374-7;33967;Port Stevenport;Utah;75946 Bryant Hollow;Yvonne Walk;9756;Apto. 21;
TRX000016;Pendiente;04-11-2022;Sí;Kenneth Andrews;PROD960;Scene;PRC5543;Find;11.063;BRL;426.13;63.69;362.44;10.507;EUR;3.679.187.195.061.080;4.427.413.833.944.280;Presencial;3.534.679.189.676.670;7.436.554.421.595.840;4.746.744.368.230.530;CLP;3.71;0.23;0.67;;Web;SRC-0640;SCK-9097;Transferencia;Único;4;7;25-07-2025;CUP-4395;4;2;Connor King;courtneyberger@example.net;Armenia;770-695-2145x6232;24745171-2;99349;Port Erica;Utah;516 Joseph Crossing Suite 549;Carson Landing;1053;Apto. 27;@leonardthomas
TRX000017;Cancelada;11-07-2023;No;Erin Bishop;PROD588;Raise;PRC1096;At;11.771;EUR;264.36;26.06;238.3;11.014;BRL;24.219.476.812.666.900;28.101.782.338.680.900;Marketplace;23.060.204.227.685.300;9.460.620.335.901.000;0.19531956737727119;USD;2.7;0.27;0.97;Julie Haynes;Redes sociales;SRC-6120;SCK-0471;Transferencia;Recurrente;3;10;31-08-2021;CUP-8267;0;4;Travis Horton;umatthews@example.org;Turks and Caicos Islands;(717)796-4053x77351;06431713-9;3300;Port Matthewberg;Oregon;83933 Schroeder Turnpike;Joshua Drive;9698;;@amberlindsey
TRX000018;Pendiente;23-12-2020;No;Bonnie Howard;PROD870;Story;PRC7906;Economy;0.9009;CLP;270.63;50.61;220.02;0.9881;CLP;22.262.156.313.919.300;27.426.458.053.026.800;Presencial;21.674.647.333.058.200;4.546.993.250.164.820;33.750.054.807.387.000;USD;3.43;0.78;1.3;;App;SRC-9502;SCK-4026;Transferencia;Único;10;3;25-05-2023;CUP-1775;4;4;Ashley Gordon;acostaregina@example.net;Mali;470-307-6617x7115;24998569-8;39153;Wagnerchester;Connecticut;836 Beasley Loop;Wilcox Locks;1875;;@ublair
TRX000019;Pendiente;24-07-2022;Sí;Jacqueline Hernandez;PROD692;Wind;PRC1420;Matter;11.716;BRL;156.62;21.06;135.56;0.9587;USD;14.519.734.744.101.200;16.873.785.385.120.600;Online;12.837.642.771.403.900;7.777.918.861.754.320;16.376.581.016.719.900;USD;0.96;0.77;1.7;;Web;SRC-1111;SCK-6152;Tarjeta de crédito;Recurrente;9;7;20-02-2024;CUP-9885;11;1;Jennifer Russo;uparrish@example.org;France;+1-745-319-8327x315;49368998-0;80323;Anthonyview;Vermont;5022 Jones Streets Apt. 183;Barnes Junctions;8290;Apto. 42;@mitchellgriffith
TRX000020;Completada;23-04-2024;No;Angela Williams;PROD730;Coach;PRC9817;Somebody;11.099;BRL;25.328.000.000.000.000;37.45;215.83;0.9742;EUR;21.945.188.038.495.000;261.950.468.026.517;Presencial;20.691.424.985.194.800;4.597.393.476.017.460;15.299.114.909.385.900;USD;4.24;0.09;1.76;Megan Nelson;Redes sociales;SRC-6797;SCK-6438;Efectivo;Recurrente;1;8;15-06-2021;CUP-6149;5;4;Mr. Andrew Foster;smithkevin@example.org;Seychelles;(444)851-0762;83885160-6;2957;Morsemouth;Oregon;664 Richard Islands Apt. 975;Samuel Coves;3476;Apto. 23;@ryanmorales
TRX000021;Pendiente;27-10-2020;Sí;Nichole Walker;PROD807;Start;PRC8800;Concern;10.584;BRL;5.319.200.000.000.000;90.56;441.36;0.9793;CLP;4.414.615.111.443.860;5.374.453.715.151.230;Online;4.318.793.742.222.290;0.8561296195802126;7.200.746.641.041.940;EUR;1.5;0.69;0.61;;Redes sociales;SRC-1818;SCK-8355;PayPal;Recurrente;12;9;12-07-2024;CUP-2312;11;4;Christopher Hernandez;thompsonkendra@example.com;Kyrgyz Republic;001-699-279-9552x71774;58147700-5;38128;Lake Michelleland;South Carolina;9807 Marc Mountains Apt. 071;Haas Corner;4439;Apto. 20;@benjaminzimmerman
TRX000022;Pendiente;19-05-2025;No;Lisa Cox;PROD202;Whose;PRC4180;Fear;0.9185;EUR;416.97;53.54;363.43;0.8718;CLP;37.293.877.560.393.400;4.318.276.212.727.820;Marketplace;35.652.836.445.859.400;19.154.097.301.054.400;7.386.046.535.089.500;USD;1.73;0.97;1.11;;App;SRC-6659;SCK-0515;Efectivo;Único;1;10;20-04-2021;CUP-6449;15;4;Felicia Aguilar;sabrinacollins@example.net;Qatar;+1-762-291-4865x28168;54235733-2;20809;West Meganville;North Carolina;592 Moore Falls;Jennifer Cape;7217;;
TRX000023;Completada;25-06-2022;Sí;Cynthia Wallace;PROD930;Feel;PRC5978;Soldier;0.8341;USD;164.36;30.65;133.71;0.8474;BRL;13.436.343.435.113.900;1.666.417.428.144.980;Marketplace;12.879.253.439.708.900;577.021.156.470.818;6.864.510.182.560.160;USD;3.99;0.38;1.82;Joann Ferguson;Redes sociales;SRC-4735;SCK-9774;PayPal;Único;10;12;16-06-2024;CUP-8862;30;2;Rebecca Taylor;brett75@example.net;Vietnam;481-841-2478;13750606-8;49516;South Virginia;Mississippi;51522 Justin Village;Horton Dam;3458;;@awest
TRX000024;Cancelada;15-12-2024;No;Daniel Hernandez;PROD819;Yard;PRC8438;Short;0.8285;USD;105.76;10.59;95.17;11.696;USD;9.967.503.704.617.700;10.581.351.445.205.700;Presencial;8.923.188.804.880.430;29.125.928.903.102.700;23.147.623.455.602.500;CLP;2.95;0.65;1.82;;Web;SRC-9861;SCK-4341;Tarjeta de crédito;Único;5;10;20-06-2021;CUP-6971;29;3;Taylor Carlson;chenbailey@example.net;Cambodia;260-895-3962x1851;70654051-5;32105;Port Bonniemouth;Florida;8527 Welch Valleys;Bryan Trail;7196;Apto. 8;
TRX000025;Pendiente;22-02-2025;No;Dakota Moody;PROD126;Various;PRC2496;Analysis;0.8916;CLP;438.05;85.18;352.87;11.998;EUR;35.780.795.219.345.000;4.480.594.435.423.580;Marketplace;352.065.581.481.007;0.3986078418361305;43.202.866.416.077.200;CLP;3.93;0.18;1.04;Eric Sanders;Tienda física;SRC-8740;SCK-3450;Transferencia;Recurrente;11;8;19-11-2024;CUP-5415;15;3;James Gonzales;lmorgan@example.com;Puerto Rico;358.341.6169x2845;54479627-5;59107;Lake Mollystad;South Carolina;0165 Stephanie Divide Suite 021;Kimberly Lakes;6691;Apto. 22;
TRX000026;Pendiente;28-03-2022;Sí;Amanda Hernandez;PROD422;Listen;PRC5135;Hospital;0.9293;BRL;494.61;64.32;430.29;1.146;CLP;43.317.217.795.361.400;50.848.347.347.966.800;Marketplace;4.208.380.646.043.670;8.135.660.347.379.720;550.096.608.971.783;BRL;2.36;0.19;0.72;;Redes sociales;SRC-5719;SCK-2856;Tarjeta de crédito;Único;5;9;09-03-2022;CUP-4310;29;3;Kathryn Hughes;greenjorge@example.com;Croatia;+1-747-331-2172x715;88442258-3;16408;Port Dominic;New York;8957 Cheryl Corners;Kyle Stravenue;7179;Apto. 45;@xfox
TRX000027;Completada;23-06-2022;No;Beth Stewart;PROD220;Back;PRC3522;Listen;0.9994;EUR;579.99;93.15;486.84;10.035;EUR;4.884.237.816.380.520;5.847.759.492.465.530;Presencial;4.813.316.099.299.730;5.522.514.090.537.330;0.9320920128152255;BRL;4.91;0.24;1.1;Joseph Anderson;App;SRC-8922;SCK-6801;Tarjeta de crédito;Recurrente;7;6;24-09-2023;CUP-4225;8;1;Courtney Meza;meghan43@example.net;Zimbabwe;-9072;99590010-9;35189;Port Ashley;South Carolina;8447 Linda Spur;Evans Cliffs;4635;Apto. 47;
TRX000028;Pendiente;14-11-2023;No;Jason Marshall;PROD429;Grow;PRC4090;Policy;11.923;USD;35.270.000.000.000.000;58.54;294.16;10.287;USD;29.862.547.393.043.100;3.700.052.118.940.040;Presencial;2.893.165.861.444.820;33.243.995.571.074.900;7.628.726.776.199.790;CLP;1.93;0.47;1.83;Scott Flores;App;SRC-5625;SCK-8815;Efectivo;Único;3;9;20-06-2022;CUP-1473;10;1;Anthony Dougherty;kwright@example.com;Vietnam;001-953-227-8774;16873395-0;7125;Troyfort;Maine;62456 Williams Center;Michael Heights;7214;Apto. 7;@hughesshannon
TRX000029;Pendiente;06-03-2023;Sí;Lisa Carr;PROD972;Career;PRC6383;Bill;11.409;BRL;9.924.000.000.000.000;18.6;80.64;11.817;BRL;8.138.828.248.243.700;11.863.913.588.082.200;Marketplace;7.282.474.708.726.970;26.502.277.954.340.800;623.259.400.521.998;CLP;3.28;0.23;1.37;Robert Morgan;App;SRC-5239;SCK-8680;Tarjeta de crédito;Recurrente;2;11;23-08-2021;CUP-2578;27;1;Larry Robertson;sarah52@example.com;Nicaragua;001-749-358-8879x4705;69409749-9;30325;New Timothyhaven;South Dakota;30913 Scott Manor Apt. 636;Salas Street;7270;Apto. 11;
TRX000030;Completada;24-01-2024;Sí;Kelly Hoffman;PROD279;Recognize;PRC2293;Mean;10.438;BRL;39.68;7.14;32.54;10.479;USD;36.288.410.897.753.100;45.547.355.519.304.100;Presencial;31.084.302.043.006.000;53.116.631.814.876;5.659.280.619.159.360;USD;1.54;0.64;0.92;;Redes sociales;SRC-8652;SCK-7858;PayPal;Único;2;8;07-09-2022;CUP-4973;18;3;Diana Evans;kellie37@example.com;Lesotho;(284)641-9866x524;15747338-4;74165;Derrickshire;Kansas;83301 Rivera Mountains;Erin Dam;6952;Apto. 45;@oconnelltiffany
TRX000031;Cancelada;21-03-2021;No;Shirley Alvarez;PROD122;Rather;PRC7484;Decision;0.9098;CLP;197.54;39.5;158.04;11.642;BRL;15.910.653.267.422.300;2.146.067.091.732.030;Presencial;1.542.263.570.234.230;35.895.915.757.724.500;2.958.723.902.157.840;USD;3.23;0.35;1.27;;App;SRC-4540;SCK-1938;Tarjeta de crédito;Único;5;8;03-03-2024;CUP-0262;18;3;Amanda Huff;vlopez@example.com;Turkey;9044991547;87431527-4;94689;North Jill;Maine;96685 Richard Court;Tina Neck;2154;Apto. 6;@shari04
TRX000032;Completada;07-05-2022;No;Derek Rivera;PROD944;Pass;PRC8894;Several;1.187;EUR;241.39;27.79;213.6;10.986;EUR;2.223.646.059.670.660;2.571.202.562.206.100;Online;20.994.142.469.384.800;5.017.947.622.648.400;27.252.735.071.236.300;BRL;4.83;0.14;1.93;;Redes sociales;SRC-9045;SCK-3017;PayPal;Único;7;1;02-05-2022;CUP-6841;17;1;Teresa Richardson;jeffreyanderson@example.org;Korea;001-795-368-7833x9187;91088398-2;22067;Melissamouth;Delaware;971 Stokes Motorway;William Motorway;7452;Apto. 24;
TRX000033;Cancelada;01-04-2023;Sí;Megan Parker;PROD763;Age;PRC2035;Individual;10.542;BRL;512.53;99.55;412.98;11.638;EUR;41.531.821.902.211.500;5.146.969.220.439.840;Marketplace;4.127.297.535.035.350;8.842.348.452.148.520;56.140.738.224.987.800;BRL;1.03;0.05;0.07;;Web;SRC-4039;SCK-1065;Tarjeta de crédito;Único;9;3;22-06-2024;CUP-8017;14;3;Jason Mack;ybrooks@example.com;Trinidad and Tobago;(261)282-5128x6823;47868633-7;45872;West Jacob;Washington;69033 Craig Bypass;Harper Squares;8851;;
TRX000034;Pendiente;14-10-2024;Sí;Andrew Gonzales;PROD975;Notice;PRC6942;Director;0.8397;EUR;405.38;74.47;330.91;10.178;EUR;34.030.053.065.713.600;4.176.930.442.810.230;Online;32.811.259.859.914.200;6.902.806.637.475.630;2.172.696.846.975.610;BRL;1.74;0.97;1.9;;Web;SRC-0284;SCK-3959;Transferencia;Único;1;6;05-10-2023;CUP-5342;4;5;Ms. Jennifer Hill;conniesimmons@example.com;Australia;(568)556-6246x287;42708668-8;18076;Sanchezborough;Michigan;5183 Joseph Spring;Morgan Field;3363;;
TRX000035;Completada;13-06-2024;No;Megan Robinson;PROD917;Detail;PRC3858;True;0.844;CLP;463.51;55.11;408.4;0.8527;EUR;41.628.643.754.277.600;47.899.737.155.609.600;Online;40.244.018.364.825.500;277.274.845.975.683;984.028.131.847.739;EUR;0.57;0.27;0.25;Elizabeth Stout;Web;SRC-3317;SCK-3936;Tarjeta de crédito;Recurrente;8;6;21-09-2025;CUP-8546;18;1;Matthew Parker;william77@example.org;Spain;001-875-635-5609x3204;23536937-8;86301;Jonathanfort;Washington;2522 White Plains Apt. 801;Kathy Loop;7406;;
TRX000036;Pendiente;11-02-2021;No;Andrea Hernandez;PROD536;Discover;PRC2768;Mouth;0.9961;BRL;38.05;6.8;31.25;0.8294;CLP;3.646.451.214.713.080;55.389.618.155.196.700;Presencial;2.666.957.477.902.310;9.640.261.831.220.280;0.6082540749450582;USD;0.8;0.28;1.27;;Tienda física;SRC-7509;SCK-9770;Efectivo;Recurrente;8;9;24-04-2021;CUP-8600;13;1;Denise Madden;shawheidi@example.com;Sri Lanka;(611)782-3398;46156793-3;39819;Lake Victoriaton;Colorado;6870 Jacqueline Corner Suite 659;Patricia Canyon;1875;;@jasonparrish
TRX000037;Pendiente;11-11-2024;No;Anthony Jones;PROD256;Wish;PRC8770;Fast;0.8269;CLP;5.173.100.000.000.000;72.15;445.16;0.8373;CLP;44.914.730.184.256.900;533.858.384.495.601;Marketplace;437.863.874.923.655;312.548.349.997.133;31.252.357.114.186.700;EUR;4.15;0.56;1.17;;Tienda física;SRC-8902;SCK-5039;Tarjeta de crédito;Recurrente;6;11;29-09-2021;CUP-6142;27;1;Lacey Atkinson;patrick21@example.net;Samoa;(201)663-1599x965;77358662-9;87096;Millerport;Kansas;42626 Ward Course;Sherry Mills;4713;Apto. 39;@kathleen12
TRX000038;Pendiente;12-11-2020;Sí;Justin Hunt;PROD926;Board;PRC8030;Agree;11.381;CLP;331.85;38.67;293.18;10.436;EUR;29.542.244.869.107.500;3.449.847.260.597.630;Online;29.209.781.618.072.700;845.373.418.601.345;36.756.105.061.535.000;USD;1.73;0.76;1.84;Julian Carlson;App;SRC-5604;SCK-6618;Transferencia;Recurrente;2;3;04-11-2025;CUP-3982;0;1;Caroline Adams;trevor12@example.com;Falkland Islands (Malvinas);(647)215-4379x93712;65965756-9;18343;Malikborough;New Mexico;65479 Mark Harbors Suite 519;Brittany Plains;8692;Apto. 14;@erinpierce
TRX000039;Completada;11-03-2025;Sí;Michael Gonzales;PROD790;Film;PRC2336;Theory;0.9088;BRL;204.57;27.53;177.04;0.9943;BRL;1.848.083.561.996.670;21.900.191.935.485.300;Presencial;17.136.406.443.385.600;0.8495703997717929;0.5260882642552178;EUR;1.47;0.51;0.69;Sabrina Flynn;Redes sociales;SRC-6724;SCK-3426;PayPal;Único;4;7;19-03-2025;CUP-1797;1;1;Kimberly Mclean;ystephens@example.com;Reunion;-6893;61014388-8;76590;South Neil;New Jersey;0714 Knapp Corner;Marie Stream;3350;;
TRX000040;Completada;19-02-2021;No;Jesse Clark;PROD173;Meeting;PRC7505;Happen;11.447;CLP;439.58;55.14;384.44;0.9745;BRL;38.941.385.328.613.300;44.197.968.687.411.000;Online;38.013.344.988.646.300;12.918.570.175.921.400;5.325.823.478.674.230;EUR;3.09;0.57;1.42;Jeffrey Horton;Web;SRC-5140;SCK-1051;Efectivo;Único;6;3;05-09-2024;CUP-2382;14;3;Erin Simmons;zhall@example.net;Colombia;(866)209-3796;33419182-5;43228;South Daniel;Texas;596 Matthews Keys Suite 792;Sellers Ramp;1444;;@powerslawrence
TRX000041;Cancelada;15-08-2021;Sí;James Thomas;PROD643;Important;PRC9355;Kid;0.8776;EUR;351.87;53.32;298.55;0.9404;USD;3.016.527.456.183.580;3.597.853.339.371.860;Online;29.515.486.718.851.500;333.068.622.493.132;16.813.270.804.568.600;CLP;1.16;0.2;1.2;;Web;SRC-9296;SCK-6278;Transferencia;Recurrente;8;10;15-09-2024;CUP-2827;14;5;Cody Wilkinson;glennstephanie@example.com;Burkina Faso;9.684.876.767;19034043-8;38337;Port Stephen;West Virginia;819 Joseph Plains Suite 807;Veronica Cove;5296;Apto. 41;@kennethkidd
TRX000042;Pendiente;04-09-2022;Sí;Robert Gonzales;PROD158;Buy;PRC7041;Stand;11.327;CLP;50.69;7.23;43.46;10.579;CLP;46.206.736.674.861.500;5.674.640.870.278.020;Marketplace;4.289.827.879.786.920;5.073.368.852.897.780;3.104.078.506.063.100;BRL;2.58;0.55;1.58;;Redes sociales;SRC-3395;SCK-9629;Transferencia;Recurrente;10;8;30-10-2021;CUP-3309;4;1;Douglas Ryan;tiffany44@example.net;Ethiopia;412.660.4223x25367;66711684-5;60098;Murphytown;Wyoming;751 Robinson Meadow;Troy Islands;7382;Apto. 7;
TRX000043;Pendiente;26-07-2024;No;Kenneth Knight;PROD389;Memory;PRC7347;Story;0.9635;EUR;61.43;10.11;51.32;10.716;CLP;5.839.621.704.323.270;62.212.842.524.013.400;Marketplace;4.141.013.977.353.110;5.240.685.531.701.740;6.098.054.063.226.740;EUR;0.8;0.09;1.36;Michael Williams;App;SRC-1701;SCK-2770;PayPal;Único;10;11;02-08-2025;CUP-6324;29;3;Timothy Hill;john52@example.org;Indonesia;+1-943-261-1037x1293;05162713-6;12209;North Lawrenceport;Florida;21890 Scott Stravenue Apt. 269;Heath Corners;5083;Apto. 42;@taylordavid
